LocationName,Latitude,Longitude,Context,Sentiment,Confidence,Literature
Flint’s Pond,42.4351727,-71.3156315,"Sometimes I rambled to pine groves, standing like temples, or like fleets at sea, full-rigged, with wavy boughs, and rippling with light, so soft and green and shady that the Druids would have forsaken their oaks to worship in them; or to the cedar wood beyond Flint’s Pond, where the trees, covered with hoary blue berries, spiring higher and higher, are fit to stand before Valhalla, and the creeping juniper covers the ground with wreaths full of fruit; or to swamps where the usnea lichen hangs in festoons from the white spruce trees, and toadstools, round tables of the swamp gods, cover the ground, and more beautiful fungi adorn the stumps, like butterflies or shells, vegetable winkles; where the swamp-pink and dogwood grow, the red alderberry glows like eyes of imps, the waxwork grooves and crushes the hardest woods in its folds, and the wild holly berries make the beholder forget his home with their beauty, and he is dazzled and tempted by nameless other wild forbidden fruits, too fair for mortal taste.",neutral,82.1%,Walden
St.,,,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.",neutral,85.4%,Walden
Italy,,,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.",neutral,85.4%,Walden
France,,,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.",neutral,85.4%,Walden
Fair Haven,33.5234997,-86.7280681,"I set out one afternoon to go a-fishing to Fair Haven, through the woods, to eke out my scanty fare of vegetables.",neutral,89.7%,Walden
Pleasant Meadow,,,"My way led through Pleasant Meadow, an adjunct of the Baker Farm, that retreat of which a poet has since sung, beginning﻿—


“Thy entry is a pleasant field,

Which some mossy fruit trees yield

Partly to a ruddy brook,

By gliding musquash undertook,

And mercurial trout,

Darting about.”


I thought of living there before I went to Walden.",neutral,85.6%,Walden
Walden,,,"My way led through Pleasant Meadow, an adjunct of the Baker Farm, that retreat of which a poet has since sung, beginning﻿—


“Thy entry is a pleasant field,

Which some mossy fruit trees yield

Partly to a ruddy brook,

By gliding musquash undertook,

And mercurial trout,

Darting about.”


I thought of living there before I went to Walden.",neutral,85.6%,Walden
America,38.7945952,-106.5348379,I had sat there many times of old before the ship was built that floated his family to America.,neutral,100.0%,Walden
America,38.7945952,-106.5348379,"I tried to help him with my experience, telling him that he was one of my nearest neighbors, and that I too, who came a-fishing here, and looked like a loafer, was getting my living like himself; that I lived in a tight, light, and clean house, which hardly cost more than the annual rent of such a ruin as his commonly amounts to; and how, if he chose, he might in a month or two build himself a palace of his own; that I did not use tea, nor coffee, nor butter, nor milk, nor fresh meat, and so did not have to work to get them; again, as I did not work hard, I did not have to eat hard, and it cost me but a trifle for my food; but as he began with tea, and coffee, and butter, and milk, and beef, he had to work hard to pay for them, and when he had worked hard he had to eat hard again to repair the waste of his system﻿—and so it was as broad as it was long, indeed it was broader than it was long, for he was discontented and wasted his life into the bargain; and yet he had rated it as a gain in coming to America, that here you could get tea, and coffee, and meat every day.",neutral,83.9%,Walden
America,38.7945952,-106.5348379,"But the only true America is that country where you are at liberty to pursue such a mode of life as may enable you to do without these, and where the state does not endeavor to compel you to sustain the slavery and war and other superfluous expenses which directly or indirectly result from the use of such things.",neutral,72.6%,Walden
Spain,,,"There’s nothing like it in old paintings, nothing like it in foreign lands﻿—unless when we were off the coast of Spain.",neutral,81.8%,Walden
Mediterranean,,,"That’s a true Mediterranean sky. I thought, as I have my living to get, and have not eaten today, that I might go a-fishing.",neutral,87.2%,Walden
Brister’s Hill,,,"Commonly I rested an hour or two in the shade at noon, after planting, and ate my lunch, and read a little by a spring which was the source of a swamp and of a brook, oozing from under Brister’s Hill, half a mile from my field.",neutral,100.0%,Walden
America,38.7945952,-106.5348379,"And certainly there is not the fight recorded in Concord history, at least, if in the history of America, that will bear a moment’s comparison with this, whether for the numbers engaged in it, or for the patriotism and heroism displayed.",neutral,76.5%,Walden
Bunker Hill,42.3755627,-71.06447349999999,"I have no doubt that it was a principle they fought for, as much as our ancestors, and not to avoid a threepenny tax on their tea; and the results of this battle will be as important and memorable to those whom it concerns as those of the battle of Bunker Hill, at least.",neutral,72.5%,Walden
Sweden,,,This event happened previous to the expulsion of the tyrant Christiern the Second from Sweden.,neutral,100.0%,Walden
Lincoln,,,"A few years before I lived in the woods there was what was called a “winged cat” in one of the farmhouses in Lincoln nearest the pond, Mr. Gilian Baker’s.",neutral,100.0%,Walden
