LocationName,Latitude,Longitude,Context,Sentiment,Confidence
New York City,40.7127753,-74.0059728,"He attended local Catholic and public schools and won a football scholarship to Columbia University in New York City, where he first met Neal Cassady, Allen Ginsberg, and William S. Burroughs.",neutral,88.7%
St. Petersburg,,,"He died in St. Petersburg, Florida, in 1969, at the age of forty-seven. ",neutral,76.9%
Florida,27.6648274,-81.5157535,"He died in St. Petersburg, Florida, in 1969, at the age of forty-seven. ",neutral,76.9%
Salt Lake City,40.7605601,-111.8881397,"Dean is the perfect guy for the road because he actually was born on the road, when his parents were passing through Salt Lake City in 1926, in a jalopy, on their way to Los Angeles.",neutral,90.2%
Los Angeles,34.0549076,-118.242643,"Dean is the perfect guy for the road because he actually was born on the road, when his parents were passing through Salt Lake City in 1926, in a jalopy, on their way to Los Angeles.",neutral,90.2%
New Mexico,34.9727305,-105.0323635,"First reports of him came to me through Chad King, who’d shown me a few letters from him written in a New Mexico reform school.",neutral,100.0%
New York,40.7127753,-74.0059728,Then news came that Dean was out of reform school and was coming to New York for the first time; also there was talk that he had just married a girl called Marylou.,neutral,100.0%
East Harlem,40.7957399,-73.93892129999999,"One day I was hanging around the campus and Chad and Tim Gray told me Dean was staying in a cold-water pad in East Harlem, the Spanish Harlem.",neutral,100.0%
New York,40.7127753,-74.0059728,"Dean had arrived the night before,  the first time in New York, with his beautiful little sharp chick Marylou; they got off the Greyhound bus at 50th Street and cut around the corner looking for a place to eat and went right in Hector‘s, and since then Hector’s cafeteria has always been a big symbol of New York for Dean.",neutral,90.3%
New York,40.7127753,-74.0059728,"All this time Dean was telling Marylou things like this: “Now, darling, here we are in New York and although I haven’t quite told you everything that I was thinking about when we crossed Missouri and especially at the point when we passed the Boon ville reformatory which reminded me of my jail problem, it is absolutely necessary now to postpone all those leftover things concerning our personal lovethings and at once begin thinking of specific worklife plans ...” and so on in the way that he had in those early days.
I went to the cold-water flat with the boys, and Dean came to the door in his shorts.",neutral,90.4%
Missouri,37.9642529,-91.8318334,"All this time Dean was telling Marylou things like this: “Now, darling, here we are in New York and although I haven’t quite told you everything that I was thinking about when we crossed Missouri and especially at the point when we passed the Boon ville reformatory which reminded me of my jail problem, it is absolutely necessary now to postpone all those leftover things concerning our personal lovethings and at once begin thinking of specific worklife plans ...” and so on in the way that he had in those early days.
I went to the cold-water flat with the boys, and Dean came to the door in his shorts.",neutral,90.4%
Oklahoma,35.0077519,-97.092877,"My first impression of Dean was of a young Gene Autry—trim, thin-hipped, blue-eyed, with a real Oklahoma accent—a sideburned hero of the snowy West.",neutral,78.4%
West,,,"My first impression of Dean was of a young Gene Autry—trim, thin-hipped, blue-eyed, with a real Oklahoma accent—a sideburned hero of the snowy West.",neutral,78.4%
