LocationName,Latitude,Longitude,Context,Sentiment,Confidence,Literature
East Coast,38.029601,-77.9281719,"LindaAUTHOR’S NOTEIn April 1992, a young man from a well-to-do East Coast family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley.",neutral,92.0%,Into the Wild
Alaska,63.588753,-154.4930619,"LindaAUTHOR’S NOTEIn April 1992, a young man from a well-to-do East Coast family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley.",neutral,92.0%,Into the Wild
Mt. McKinley,63.06916889999999,-151.0069842,"LindaAUTHOR’S NOTEIn April 1992, a young man from a well-to-do East Coast family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley.",neutral,92.0%,Into the Wild
"Washington, D.C.",38.9071923,-77.0368707,"He’d grown up, I learned, in an affluent suburb of Washington, D.C., where he’d excelled academically and had been an elite athlete.",neutral,86.2%,Into the Wild
North America,,,"And then he invented a new life for himself, taking up residence at the ragged margin of our society, wandering across North America in search of raw, transcendent experience.",neutral,100.0%,Into the Wild
Alaska,63.588753,-154.4930619,His family had no idea where he was or what had become of him until his remains turned up in Alaska.,neutral,90.1%,Into the Wild
Alaska,63.588753,-154.4930619,"Unwilling to let McCandless go, I spent more than a year retracing the convoluted path that led to his death in the Alaska taiga, chasing down details of his peregrinations with an interest that bordered on obsession.",neutral,77.5%,Into the Wild
Alaska,63.588753,-154.4930619,"When the boy headed off into the Alaska bush, he entertained no illusions that he was trekking into a land of milk and honey; peril, adversity, and Tol-stoyan renunciation were precisely what he was seeking.",neutral,74.3%,Into the Wild
Fairbanks,64.8400511,-147.7199756,1992Greetings from Fairbanks! This is the last you shall hear from me Wayne.,neutral,100.0%,Into the Wild
the Yukon Territory,,,It was very difficult to catch rides in the Yukon Territory. But I finally got here.,neutral,88.1%,Into the Wild
dakotaJim,,,"PPOSTCARD RECEIVED BY WAYNE WESTERBERGin carthage, south dakotaJim Gallien had driven four miles out of Fairbanks when he spotted the hitchhiker standing in the snow beside the road, thumb raised high, shivering in the gray Alaska dawn.",neutral,100.0%,Into the Wild
Fairbanks,64.8400511,-147.7199756,"Gallien had driven four miles out of Fairbanks when he spotted the hitchhiker standing in the snow beside the road, thumb raised high, shivering in the gray Alaska dawn.",neutral,100.0%,Into the Wild
Alaska,63.588753,-154.4930619,"Gallien had driven four miles out of Fairbanks when he spotted the hitchhiker standing in the snow beside the road, thumb raised high, shivering in the gray Alaska dawn.",neutral,100.0%,Into the Wild
South Dakota,43.9695148,-99.9018131,"Five feet seven or eight with a wiry build, he claimed to be twenty-four years old and said he was from South Dakota.",neutral,100.0%,Into the Wild
Denali National Park,63.2827613,-150.7893981,"He explained that he wanted a ride as far as the edge of Denali National Park, where he intended to walk deep into the bush and “live off the land for a few months.",neutral,100.0%,Into the Wild
Anchorage,61.2175758,-149.8996785,"”Gallien, a union electrician, was on his way to Anchorage, 240 miles beyond Denali on the George Parks Highway; he told Alex he’d drop him off wherever he wanted.",neutral,92.8%,Into the Wild
Denali,63.06916889999999,-151.0069842,"”Gallien, a union electrician, was on his way to Anchorage, 240 miles beyond Denali on the George Parks Highway; he told Alex he’d drop him off wherever he wanted.",neutral,92.8%,Into the Wild
the Tanana River,64.955269283684,-150.5192817914017,"As they rolled down from the forested ridges above the Tanana River, Alex gazed across the expanse of windswept muskeg stretching to the south.",neutral,100.0%,Into the Wild
Alaska,63.588753,-154.4930619,"Alaska has long been a magnet for dreamers and misfits, people who think the unsullied enormity of the Last Frontier will patch all the holes in their lives.",neutral,100.0%,Into the Wild
the Last Frontier,,,"Alaska has long been a magnet for dreamers and misfits, people who think the unsullied enormity of the Last Frontier will patch all the holes in their lives.",neutral,100.0%,Into the Wild
Fairbanks,64.8400511,-147.7199756,"”It was a two-hour drive from Fairbanks to the edge of Denali Park. The more they talked, the less Alex struck Gallien as a nutcase.",neutral,92.7%,Into the Wild
